american football conference	champion
american football conference	champion
bronco	finish
they	defeat
bronco	finish
bronco	finish
Panthers	finish
Panthers	finish
they	defeat
bronco	finish
Panthers	finish
bronco	finish
they	defeat
Panthers	finish
they	defeat
Denver linebacker Von Miller	name
Newton	limited
Denver linebacker Von Miller	name
Denver linebacker Von Miller	name
Denver linebacker Von Miller	name
Denver linebacker Von Miller	name
CBS	broadcast
Super Bowl halftime	headline
Super Bowl halftime	headline
CBS	broadcast
Super Bowl halftime	headline
Super Bowl halftime	headline
Super Bowl halftime	headline
NFL Commissioner Roger Goodell	state
NFL Commissioner Roger Goodell	state
NFL Commissioner Roger Goodell	state
NFL Commissioner Roger Goodell	state
NFL Commissioner Roger Goodell	state
Florida legislature	refuse
NFL owner	vote
team	coach
team	coach
Carolina Panthers	have
receiver	Olsen
pro Bowl quarterback Cam Newton	have
pro Bowl defensive	tackle
pro Bowl defensive	tackle
Panthers line	feature
two	select
who tri	undergo
he	set
bronco	plan
osweiler	injure
defense	rank
bronco	plan
Denver bronco	undergo
defense	rank
veteran receiver Demaryius Thomas	lead
run	rusher
veteran receiver Demaryius Thomas	lead
veteran receiver Demaryius Thomas	lead
run	rusher
Linebacker Brandon Marshall	lead
pro Bowl linebacker Von Miller	lead
Panthers	beat
Panthers	blow
Panthers	beat
Panthers	blow
Panthers	beat
Panthers	blow
bronco	defeat
they	beat
they	beat
bronco	defeat
they	beat
bronco	defeat
they	beat
Carolina	suffer
record	hold
record	hold
record	hold
Peyton Manning	become
Peyton Manning	become
Peyton Manning	become
matchup	pit
man	selection
man	set
matchup	pit
Rivera	Bowl
Rivera	Bowl
Rivera	Bowl
concern	raise
NFL Atlanta Braves field director Ed Mangan	state
bronco	elect
bronco	wear
decision	mean
AFC champion team	steeler
Jaime Weston	explain
logo	deviate
San Francisco mayor Ed Lee	say
San Francisco city supervisor Jane Kim	lobby
San Francisco mayor Ed Lee	say
San Francisco mayor Ed Lee	say
San Francisco mayor Ed Lee	say
fundraiser	aid
fundraiser	aid
funding	provide
fundraiser	aid
funding	provide
Super Bowl champion	receive
50	design
50	design
50	design
50	design
broadcast team	call
broadcast team	call
broadcast team	call
broadcast team	call
game	call
game	call
ESPN Deportes	announce
game	call
ESPN Deportes	broadcast
game	call
game	call
game	call
Nintendo	make
quickbook	sponsor
death Wish Coffee	beat
Westwood one	carry
Jim Gray	anchor
Westwood one	carry
Westwood one	carry
Westwood one	carry
Westwood one	carry
Jim Gray	anchor
Westwood one	carry
Westwood one	carry
Westwood one	carry
koa	carry
WBT	carry
koa	carry
koa	carry
WBT	carry
BBC	carry
Bart Starr	appear
Bart Starr	appear
Bart Starr	appear
Bart Starr	appear
Bart Starr	appear
six-time Grammy winner	perform
six-time Grammy winner	perform
six-time Grammy winner	perform
six-time Grammy winner	perform
league	confirm
league	confirm
Denver	take
linebacker Shaq Thompson	tackle
Thomas Davis	tackle
pair	carry
linebacker Shaq Thompson	tackle
Thomas Davis	tackle
Denver	take
Thomas Davis	tackle
Panthers quarterback Cam Newton	appear
linebacker Von Miller	knock
Panthers quarterback Cam Newton	appear
linebacker Von Miller	knock
linebacker Von Miller	knock
linebacker Von Miller	knock
linebacker Von Miller	knock
Newton	complete
bronco receiver Jordan Norwood	receive
Newton	complete
bronco receiver Jordan Norwood	receive
Newton	complete
Mike Tolbert	lose
Newton	sack
Newton	sack
Mike Tolbert	lose
Panthers	take
Newton	sack
Mike Tolbert	lose
Panthers	take
Newton	sack
Panthers	seem
bronco defense	halted
they	come
Panthers	seem
Ward	fumble
Panthers	seem
bronco defense	halted
man	complete
Ealy	knock
reception	set
reception	set
Ealy	knock
Miller	strip
player	do
Anderson	score
Miller	strip
Miller	strip
Anderson	rusher
Sanders	receiver
return	set
man	have
team	man
sack	tie
one	Skłodowska-Curie
Famous musician	include
University Library garden	open
rival	have
Warsaw	city
Economist Intelligence Unit	rank
Warsaw	become
Warsz	nobleman
Prince	establish
Warsaw	become
Warsaw	make
Germany	do
Central Poland	come
monument	commemorate
power	vest
Warsaw President	Menich
President	elect
stock exchange	be
factory	sell
they	descend
Norman adventurer	found
Duchy	fief
Duchy	establish
population	differ
contingent	include
William	tell
he	award
norman	capture
norman	enter
Roussel de Bailleul	try
Norman	name
8,000	norman
norman	join
year	land
lack	force
relationship	produce
relationship	produce
ethelr	flee
Edward Confessor	bring
he	appoint
Duke William II	conquer
invade norman	replace
one	flee
King Malcolm III	marry
King Malcolm III	marry
Malcolm	submit
King David I	instrumental
Edward Confessor	set
Edward Confessor	set
William	lead
some	discover
survivor	take
all	declare
prince	arrive
Richard	proceed
Richard Lion-Heart	marry
Bethencourt	take
nephew Maciot de Bethencourt	sell
nephew Maciot de Bethencourt	sell
nephew Maciot de Bethencourt	sell
duke	begin
church	utilise
it	commission
system	develop
monk	flee
Tesla	gain
ac induction motor	licensed
Nikola	credit
Tesla	hold
Tesla	hold
he	read
two	put
he	relocate
he	relocate
Tesla	partner
Tesla	partner
company	issue
Tesla	meet
Tesla	meet
editor	arrange
editor	arrange
editor	arrange
engineer	report
Westinghouse	look
Brown	negotiate
demonstration	put
demonstration	put
competition	result
competition	result
George Westinghouse	win
George Westinghouse	win
1893 Richard Dean Adams	seek
1893 Richard Dean Adams	seek
1890	saw
Tesla	capture
Westinghouse engineer Benjamin Lamme	make
Tesla	explain
Guglielmo Marconi	quip
this	begin
court	declare
Tesla	approach
money	respond
Morgan	shock
Tesla	write
Morgan	owe
plan	approve
Tesla	incorrect
Reuters news agency report	have
Reuters news agency report	have
Tesla	win
Tesla	wrench
body	find
John G. Trump	call
New York City mayor Fiorello La Guardia	read
New York City mayor Fiorello La Guardia	read
Sava Kosanović	marked
secretary Charlotte Muzar	transport
Tesla	telephone
Tesla	develop
Tesla	marry
secretary	write
Robert Underwood Johnson	describe
Tesla	harsh
Tesla	harsh
Tesla	critical
Tesla	comment
he	believe
Tesla	write
null	autobiography
thesis	say
it	show
algorithm	run
definition	be
papers	include
Manuel Blum	develop
learn	assist
religious	teach
teaching	carry
teaching	carry
